aug_kl   AUC 0.5959, Accuracy 0.5767, TPR@0.1% FPR of 0.0033
Max_70.0% renyi_inf   AUC 0.6648, Accuracy 0.6383, TPR@0.1% FPR of 0.0000
Max_80.0% renyi_05   AUC 0.6815, Accuracy 0.6583, TPR@0.1% FPR of 0.0167
Max_80.0% renyi_1   AUC 0.6944, Accuracy 0.6750, TPR@0.1% FPR of 0.0000
Max_80.0% renyi_2   AUC 0.6809, Accuracy 0.6600, TPR@0.1% FPR of 0.0000
Max_80.0% renyi_inf   AUC 0.6678, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Max_90.0% renyi_05   AUC 0.6923, Accuracy 0.6683, TPR@0.1% FPR of 0.0167
Max_90.0% renyi_1   AUC 0.7003, Accuracy 0.6783, TPR@0.1% FPR of 0.0000
Max_90.0% renyi_2   AUC 0.6820, Accuracy 0.6567, TPR@0.1% FPR of 0.0000
Max_90.0% renyi_inf   AUC 0.6685, Accuracy 0.6433, TPR@0.1% FPR of 0.0000
Max_100% renyi_05   AUC 0.7011, Accuracy 0.6783, TPR@0.1% FPR of 0.0167
Max_100% renyi_1   AUC 0.7013, Accuracy 0.6733, TPR@0.1% FPR of 0.0000
Max_100% renyi_2   AUC 0.6804, Accuracy 0.6533, TPR@0.1% FPR of 0.0000
Max_100% renyi_inf   AUC 0.6680, Accuracy 0.6367, TPR@0.1% FPR of 0.0000
Min_0% renyi_05   AUC 0.5416, Accuracy 0.5517, TPR@0.1% FPR of 0.0000
Min_0% renyi_1   AUC 0.5424, Accuracy 0.5500, TPR@0.1% FPR of 0.0000
Min_0% renyi_2   AUC 0.5397, Accuracy 0.5517, TPR@0.1% FPR of 0.0000
Min_0% renyi_inf   AUC 0.5395, Accuracy 0.5517, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_05   AUC 0.6156, Accuracy 0.6033, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_1   AUC 0.5765, Accuracy 0.5867, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_2   AUC 0.5709, Accuracy 0.5883, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_inf   AUC 0.5706, Accuracy 0.5817, TPR@0.1% FPR of 0.0000
Min_10.0% renyi_05   AUC 0.6504, Accuracy 0.6283, TPR@0.1% FPR of 0.0000
Min_10.0% renyi_1   AUC 0.6025, Accuracy 0.6100, TPR@0.1% FPR of 0.0000
Min_10.0% renyi_2   AUC 0.5826, Accuracy 0.5983, TPR@0.1% FPR of 0.0000
Min_10.0% renyi_inf   AUC 0.5797, Accuracy 0.5867, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_05   AUC 0.6853, Accuracy 0.6433, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_1   AUC 0.6379, Accuracy 0.6283, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_2   AUC 0.6041, Accuracy 0.5950, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_inf   AUC 0.6016, Accuracy 0.5950, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_05   AUC 0.7049, Accuracy 0.6583, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_1   AUC 0.6654, Accuracy 0.6483, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_2   AUC 0.6234, Accuracy 0.6050, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_inf   AUC 0.6181, Accuracy 0.6000, TPR@0.1% FPR of 0.0000
Min_40.0% renyi_05   AUC 0.7163, Accuracy 0.6700, TPR@0.1% FPR of 0.0000
Min_40.0% renyi_1   AUC 0.6875, Accuracy 0.6583, TPR@0.1% FPR of 0.0000
Min_40.0% renyi_2   AUC 0.6431, Accuracy 0.6267, TPR@0.1% FPR of 0.0000
Min_40.0% renyi_inf   AUC 0.6355, Accuracy 0.6250, TPR@0.1% FPR of 0.0000
Min_50.0% renyi_05   AUC 0.7226, Accuracy 0.6750, TPR@0.1% FPR of 0.0000
Min_50.0% renyi_1   AUC 0.7031, Accuracy 0.6617, TPR@0.1% FPR of 0.0000
Min_50.0% renyi_2   AUC 0.6612, Accuracy 0.6350, TPR@0.1% FPR of 0.0000
Min_50.0% renyi_inf   AUC 0.6495, Accuracy 0.6283, TPR@0.1% FPR of 0.0000
Min_60.0% renyi_05   AUC 0.7212, Accuracy 0.6800, TPR@0.1% FPR of 0.0100
Min_60.0% renyi_1   AUC 0.7145, Accuracy 0.6750, TPR@0.1% FPR of 0.0000
Min_60.0% renyi_2   AUC 0.6790, Accuracy 0.6450, TPR@0.1% FPR of 0.0000
Min_60.0% renyi_inf   AUC 0.6636, Accuracy 0.6383, TPR@0.1% FPR of 0.0000
Min_70.0% renyi_05   AUC 0.7113, Accuracy 0.6783, TPR@0.1% FPR of 0.0133
Min_70.0% renyi_1   AUC 0.7113, Accuracy 0.6733, TPR@0.1% FPR of 0.0000
Min_70.0% renyi_2   AUC 0.6901, Accuracy 0.6600, TPR@0.1% FPR of 0.0000
Min_70.0% renyi_inf   AUC 0.6735, Accuracy 0.6533, TPR@0.1% FPR of 0.0000
Min_80.0% renyi_05   AUC 0.7040, Accuracy 0.6767, TPR@0.1% FPR of 0.0100
Min_80.0% renyi_1   AUC 0.7012, Accuracy 0.6767, TPR@0.1% FPR of 0.0000
Min_80.0% renyi_2   AUC 0.6846, Accuracy 0.6617, TPR@0.1% FPR of 0.0000
Min_80.0% renyi_inf   AUC 0.6733, Accuracy 0.6533, TPR@0.1% FPR of 0.0000
Min_90.0% renyi_05   AUC 0.7027, Accuracy 0.6817, TPR@0.1% FPR of 0.0133
Min_90.0% renyi_1   AUC 0.6999, Accuracy 0.6733, TPR@0.1% FPR of 0.0000
Min_90.0% renyi_2   AUC 0.6768, Accuracy 0.6550, TPR@0.1% FPR of 0.0000
Min_90.0% renyi_inf   AUC 0.6666, Accuracy 0.6467, TPR@0.1% FPR of 0.0000
Min_100% renyi_05   AUC 0.7011, Accuracy 0.6783, TPR@0.1% FPR of 0.0167
Min_100% renyi_1   AUC 0.7013, Accuracy 0.6733, TPR@0.1% FPR of 0.0000
Min_100% renyi_2   AUC 0.6804, Accuracy 0.6533, TPR@0.1% FPR of 0.0000
Min_100% renyi_inf   AUC 0.6680, Accuracy 0.6367, TPR@0.1% FPR of 0.0000
